communityname,state,countyCode,communityCode,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Hastingscity,MN,37,27530,1,15440,2.86,0.31,98.63,0.64,0.49,13.92,27.4,12.29,8.39,0,0,36091,84.9,0.81,47.33,22.69,3.41,12.51,41312,14482,14580,6426,4444,7238,1043,7344,746,5,7.84,18.63,16.75,5.18,69.13,24.87,21.76,18.97,19.55,8.72,29.13,10.57,9.66,3.22,79.12,79.48,92.03,76.62,75.41,80.26,177,1.42,158,25.32,25.32,32.91,32.91,0.26,0.26,0.34,0.34,96.83,0.61,4.2,3.17,2.76,2.98,2.17,78.24,1.63,37.23,3,144,97.4,72.34,0.69,20.83,1968,1.44,0.22,69500,83700,97400,27900,344,408,454,110,442,27.2,20.9,11.3,0,0,1.02,76.9,51.79,80.72,91.57,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9.4,1641.9,1.69,?,?,?,?,0,?,0,0,?,?,2,12.1,16,96.82,120,726.17,369,2232.98,40,242.06,1,6.05,?,3207.26
Paragouldcity,AR,?,?,1,18540,2.49,0.09,99.39,0.18,0.51,14.13,25.52,12.37,15.18,0,0,19985,69.56,1.62,33.14,34.55,8.77,12.6,24252,10444,10448,10101,10092,0,7652,9321,3398,18.82,20.78,39.87,11.26,7.01,55.48,33.52,19.75,27.97,17.54,11.78,19.43,13.59,12.75,2.92,76.53,72.93,77.38,75.02,69.52,73.04,112,0.67,49,0,0,0,0,0,0,0,0,98.98,0.28,2.28,1.67,2.44,2.49,2.34,68.9,1.88,43.88,3,472,94.03,67.53,4.66,35.38,1972,10.95,0.51,30500,41800,60000,29500,153,216,274,121,280,26,17.5,12.3,7,0,0.26,73.8,52.41,83.68,89.62,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30.1,616.9,0.23,?,?,?,?,0,?,1,4.65,9,41.81,2,9.29,8,37.16,134,622.47,502,2331.96,35,162.59,1,4.65,92.91,3121.66
BeverlyHillscity,CA,?,?,1,31971,2.2,1.7,91.28,5.46,5.4,11.38,22.12,10.53,17.88,31971,100,54348,73,0.56,55.83,28,3.47,9.02,83272,55463,57381,30294,13326,39787,27395,28719,2105,6.6,3.6,10.57,46.95,3.8,60.76,8.37,28.42,1.37,51.85,8.33,32.58,15.23,12.23,2.87,75.73,77.69,90.56,81.23,49.3,55.66,223,1.04,11133,13.57,22.29,31.93,41.76,4.73,7.76,11.12,14.54,64.34,4.86,4.05,2.25,2.19,2.71,1.78,54.32,3.27,61.04,2,1159,92.63,43.85,1.38,31.23,1949,0.4,0.2,500001,500001,500001,0,660,902,1001,341,925,29.5,24,12.9,0,5,34.82,26.78,52.74,82.67,85.41,126,378.44,121,363.42,74615,224102.7,592.2,378.4,97.57,86.51,2.38,7.14,3.97,12.7,6,1,71.6,5.9,5437.2,4.31,68,15288046,96.03,0,4.76,459169.41,1,3,8,24.03,281,843.97,72,216.25,472,1417.63,1755,5271.06,221,663.76,14,42.05,1087.25,7394.5
UniversityHeightscity,OH,35,78932,1,14790,2.87,16.34,81.75,1.53,1,20.62,30.27,20.39,14.02,14790,100,43376,76.55,0.61,65.12,33.47,2.47,12.64,51327,18705,19456,16183,10271,14356,4675,12395,373,2.9,3.26,9.16,47,4.65,60.44,10.93,42.35,4.23,44.99,4.4,36.71,7.76,6.2,2.99,83.94,83.27,88.68,79.48,68.29,75.55,208,2.22,1522,7.16,12.29,17.41,20.7,0.74,1.26,1.79,2.13,88.61,0.8,3.36,2.43,2.5,2.71,1.8,83.68,0.56,22.15,3,135,97.45,77.25,0,42.96,1948,0.21,0,75900,90400,111900,36000,411,482,586,175,559,27.5,18.9,13.5,0,0,10.29,62.7,53.8,78.85,86.92,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.9,7812.2,5.81,?,?,?,?,0,?,0,0,2,13.97,14,97.77,18,125.71,62,432.99,186,1298.97,31,216.5,0,0,237.45,1948.46
Marioncity,OH,?,?,1,34075,2.59,4.22,94.72,0.45,0.85,14.23,26.63,12.85,11.68,0,0,22439,72.65,0.66,31.66,30.89,12.41,16.99,27049,10365,10499,7185,10716,12381,7082,7572,5667,16.85,9.68,30.32,9.41,10.98,55.48,26.25,20.37,22.82,17.85,13.31,24.01,15.71,14.6,3.1,70.49,66.69,77.23,76.39,58.27,66.36,868,2.97,256,0,13.67,16.02,31.64,0,0.1,0.12,0.24,97.7,0.24,4.6,3.24,2.56,2.63,2.45,63.17,1.68,40.38,3,1064,92.53,61.48,3.38,57.42,1945,12.2,0.81,24100,34500,48100,24000,185,232,284,99,337,25.6,16.3,12.9,4,0,0.75,81.01,53.95,85.45,93.41,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8.3,4102.3,1.01,?,?,?,?,0,?,1,2.88,16,46.03,37,106.44,20,57.53,587,1688.58,1533,4409.86,103,296.29,3,8.63,212.87,6403.36
Toledocity,OH,95,77000,1,332943,2.54,19.7,76.96,1.05,3.97,14.78,28.65,14.52,12.25,332943,100,24819,71.86,0.36,36.37,28.93,12.29,18.44,30980,11894,13077,7722,9450,12415,7272,7817,62426,19.09,8.57,26.84,14.06,9.92,55.56,19.58,26.72,18.52,22.88,11.86,34.15,15.15,13.62,3.13,62.64,58.92,68.72,65.53,57.77,66.3,15969,6,9263,19.16,27.39,32.16,37.1,0.53,0.76,0.89,1.03,93.15,0.8,5.59,3.65,2.5,2.64,2.28,64.11,1.95,47.33,3,11242,92.09,60.65,13.37,48.67,1951,5.49,0.34,33800,48900,68500,34700,210,286,365,155,378,27.2,17,13.9,260,12,2.78,76.14,56.77,88,93.19,683,210.82,551,170.08,351211,108407.8,514.2,210.8,97.91,78.77,16.98,4.1,0,21.08,30,12,89.3,83.5,3988.5,3,222,41348280,80.67,5,4.39,127629.2,45,13.89,357,110.19,1594,492.02,1195,368.86,5502,1698.29,15251,4707.51,4517,1394.26,357,110.19,984.96,7910.25
Philadelphiacity,PA,101,60000,1,1585577,2.63,39.86,53.52,2.74,5.63,13.92,28.02,14.12,13.74,1585577,100,24603,70.12,0.35,32.15,31.63,13.98,18.2,30140,12091,15027,9061,10146,8285,5083,6053,313374,20.27,11.29,35.69,15.22,9.62,52.77,13.58,29.55,14.13,24.81,10.62,42.11,14.12,12.53,3.26,53.45,47.22,62.33,56.66,54.09,62.23,138864,11.53,104814,16.38,24.3,33.12,42.58,1.08,1.61,2.19,2.81,86.31,2.63,8.48,5.42,2.56,2.75,2.25,66.55,4.69,42.28,3,71824,89.36,61.95,21.96,59.26,1939,4.25,0.88,27900,49400,77100,49200,252,358,483,231,452,29.8,19.3,14.8,3416,1069,6.61,73.58,64.33,88.86,92.65,6523,426.38,6519,426.12,5480855,358261.41,840.2,426.4,79.54,73.48,23.18,2.84,0,25.95,273,14,39.9,140,11326,29.31,822,287578496,99.94,0,4.19,187978.5,439,28.7,785,51.31,11531,753.74,6821,445.86,15117,988.14,39181,2561.1,23785,1554.73,2282,149.17,1279.6,5253.14
Newtoncity,MA,17,45560,1,82585,2.8,2.08,92.78,4.55,1.98,14.34,28.52,15.99,12.95,82585,100,59719,81.14,0.99,66.23,25.85,2.91,14.43,70071,28840,29657,20516,7731,17833,6712,18081,3335,4.33,3.72,8.34,57.22,3.94,67.36,10.61,42.62,4.03,52.32,4.92,38.4,7.62,6.41,3.05,84.76,84.77,94.31,84.44,66.66,74.67,355,0.7,10758,16.03,21.86,26.53,31.9,2.09,2.85,3.46,4.16,84.82,1.63,4.02,2.87,2.6,2.79,2.19,73.79,0.84,33.82,3,1042,96.58,68.91,0.29,38.58,1939,0.37,0.27,224100,293400,393800,169700,578,809,1001,423,884,25.2,20.9,13.1,196,0,13.03,55.34,60.43,75.1,85.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,18.7,4413,12.27,?,?,?,?,0,?,1,1.17,11,12.82,27,31.46,181,210.9,479,558.12,1467,1709.31,248,288.96,0,0,256.34,2556.39
OrmondBeachcity,FL,?,?,1,29721,2.34,3.52,95.13,1.03,1.7,10.52,18.8,9.27,22.59,29721,100,32704,64.97,0.48,54.7,41.16,4.52,26.5,37695,18875,19228,8871,22920,23131,9044,19684,1977,6.72,4.72,15.77,26.17,4.21,51.11,8.61,27.27,7.13,37.67,8.39,22.21,11.99,10.31,2.75,76.18,74.95,86.68,78.71,62.3,70.28,276,1.18,1797,6.73,7.12,9.74,13.69,0.41,0.43,0.59,0.83,91.96,0.7,2.01,1.41,2.32,2.37,2.13,78.76,1.07,43.28,3,1487,89.52,76.93,0.81,27.37,1975,1.73,0.08,71000,91500,128900,57900,335,449,576,241,544,28.3,21.8,12.7,0,0,6.05,22.65,46.85,70.75,77.44,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,26.1,1137.7,0.77,?,?,?,?,0,?,0,0,10,31.02,24,74.45,12,37.23,293,908.95,948,2940.9,78,241.97,0,0,142.7,4091.83
Lynchburgcity,VA,680,47672,1,66049,2.63,26.41,72.45,0.76,0.72,17.79,29.84,18.19,14.33,66049,100,23726,72.25,0.63,39.06,35.02,7.54,17.2,30141,12657,14721,7200,12833,6139,8400,7231,9889,16.45,13.61,30.52,21.74,5.97,56.27,19.31,31.2,14.92,27.39,9.43,34.52,12.67,11.25,2.98,64,59.7,69.62,69.8,63.78,72.3,2858,5.88,1108,30.69,43.05,47.02,50.54,0.51,0.72,0.79,0.85,96.8,0.35,3.95,2.64,2.39,2.52,2.21,61.35,1.83,47.28,3,2090,92.33,58.2,4.31,40.48,1960,7.07,0.29,38200,56900,80300,42100,179,272,353,174,346,24.7,16.9,12.6,47,0,1.68,70.07,52.6,73.84,86.06,138,205.48,123,183.14,61164,91072.1,443.2,205.5,81.87,90.58,9.42,0,0,9.42,8,8,38.7,51.2,1290.5,3.33,62,5585480,89.13,0,5.8,83166.8,3,4.47,45,67,107,159.32,351,522.63,560,833.83,2316,3448.48,184,273.97,50,74.45,753.42,4630.73
Clintoncity,MS,?,?,1,21847,2.92,17.14,81.71,0.92,0.48,17.83,30.86,16.52,7.45,21847,100,36770,87.63,1,42.8,18.35,3.8,14.75,42144,14677,16374,6592,0,15987,10491,8881,1974,9.48,4.37,13.22,38.29,3.37,70.5,9.57,32.53,7.43,35.55,6.55,30.77,11.35,9.11,3.21,76.53,74.47,81.25,77.03,63.43,76.48,567,3.9,389,39.85,53.98,53.98,58.35,0.71,0.96,0.96,1.04,96.28,0.35,3.92,3.04,2.78,2.95,2.41,72.5,2.99,33.11,3,427,94.61,68.26,0.94,26.7,1976,2.6,0.37,60700,73400,92800,32100,292,350,413,121,438,25.6,18.1,12.3,0,0,1.78,70.21,46.9,75.27,88.08,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,24.7,885.5,0.24,?,?,?,?,0,?,2,8.76,0,0,14,61.34,12,52.58,169,740.51,435,1906.06,12,52.58,5,21.91,122.69,2721.06
Andersoncity,SC,?,?,1,26184,2.49,34.26,65.09,0.31,0.53,14.9,26.78,14.23,17.55,26184,100,19433,70.39,0.44,31.57,39.05,8.88,15.8,25523,10866,13314,6284,6917,7901,7331,7658,4922,19.89,18.33,37.36,16.96,7.46,54.48,26.9,24.72,21.73,22.1,10.91,33.31,14.14,12.75,3.03,56.04,49.67,64.92,59.42,67.84,76.59,1821,7.89,182,16.48,19.78,23.08,23.08,0.11,0.14,0.16,0.16,97.25,0.44,5.24,3.37,2.36,2.37,2.36,52.36,3.97,57.54,2,994,91.36,52.26,2.41,49.4,1961,11.53,0.25,34000,53100,74600,40600,148,229,321,173,327,24.6,20.6,13.5,12,6,0.7,76.1,50.04,83.54,91.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12.8,2042.4,0.88,?,?,?,?,0,?,8,26.85,15,50.34,134,449.74,394,1322.37,568,1906.36,1221,4098,137,459.81,3,10.07,1849.3,6474.24
Mesquitecity,TX,?,?,1,101484,2.83,5.83,87.21,2.63,8.77,14.14,28.92,12.52,4.73,101484,100,35934,89.64,0.85,34.13,13.22,4.08,9.17,40198,14115,14509,11766,13014,12912,9852,10522,7771,7.73,5.36,18.76,18.31,4.74,74.16,14.53,18.82,11.26,25.69,10.29,23.44,15.87,13.21,3.23,77.5,74.52,84.99,75.71,70.98,76.4,1198,1.78,4731,10.48,21.81,32.28,44.56,0.49,1.02,1.5,2.08,89.97,1.19,4.66,3.62,2.81,2.99,2.5,67.55,4.75,36.41,3,3395,91.35,63.45,5.24,40.27,1977,3.79,0.16,52900,68700,87200,34300,334,397,483,149,469,24.3,21.3,12.7,0,4,4.66,67.97,43.88,83.76,92.25,160,138.21,138,119.2,73461,63454.3,459.1,138.2,92.83,92.5,2.5,3.12,0,5.62,9,8,8.1,44.4,2286.9,1.22,127,8393341,86.25,0,5.62,72500.1,5,4.32,33,28.5,137,118.34,481,415.48,?,?,5181,4475.25,761,657.34,93,80.33,566.64,?
ParkForestvillage,IL,?,?,1,24656,2.7,24.63,73,1.13,3.12,13.67,26.55,11.62,9.97,24656,100,36995,84.91,0.36,42.77,22.53,4.16,14.99,41144,14756,16183,11041,17135,12511,8776,8651,1174,4.89,5.02,13.06,24.93,4.94,67.87,14.73,28.66,11.49,30.45,8.64,31,16.2,12.71,3.14,71.03,70.17,84.99,73.42,67.92,75.25,678,3.72,833,4.68,11.4,16.21,21.73,0.16,0.39,0.55,0.73,93.73,0.67,4.83,3.55,2.65,2.7,2.53,70.95,1.63,44.74,3,323,96.58,69.66,0.31,16.1,1955,1.03,0.15,45900,58800,72300,26400,261,397,496,235,479,22.7,18.7,11.4,0,0,3.38,70.72,57.89,85.21,94.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.1,4826.9,11.71,?,?,?,?,0,?,2,7.89,?,?,25,98.58,30,118.29,124,488.94,523,2062.22,113,445.57,4,15.77,?,3012.5
ChippewaFallscity,WI,17,14575,1,12727,2.49,0.11,99.03,0.34,0.34,11.95,25.43,11.89,14.93,12727,100,23056,70.18,0.63,49.72,33.86,8.75,17.21,30546,11034,11128,21667,2542,479,12688,7828,1323,11.12,15.8,25.73,13.05,6.85,55.78,29.03,26.98,20.9,22.54,7.8,32.9,12.13,10.14,3,72.22,72.67,77.26,73.78,67.23,74.49,212,1.89,81,0,0,2.47,13.58,0,0,0.02,0.09,96.81,0.47,3.44,2.14,2.34,2.6,1.97,65.29,1.06,51.2,2,236,95.58,58.78,2.54,39.41,1952,2.55,0.56,34000,43600,55900,21900,191,266,334,143,329,27.1,18.6,13.6,0,0,0.64,78.91,54.71,84.7,92.48,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.2,1249.9,0.19,?,?,?,?,0,?,0,0,2,14.83,1,7.42,4,29.66,50,370.81,386,2862.65,15,111.24,4,29.66,51.91,3374.37
Beavercreekcity,OH,?,?,1,33626,2.88,0.92,96.35,2.34,1.02,14.91,23.52,11.5,8.14,33626,100,49143,88.07,0.99,64,17.53,1.98,21.15,52531,18362,18297,22636,4326,21070,11575,14954,1165,3.51,3.8,11.01,37.21,3.13,69.01,18.19,30.58,8.47,44.28,5.19,23.96,6.42,5.81,3.14,89.64,88.59,96.51,89.58,57.94,69.9,77,0.32,1154,15.08,21.14,27.3,30.07,0.52,0.73,0.94,1.03,95.48,0.49,3.26,2.72,2.84,2.93,2.29,88.77,0.45,16.76,3,455,96.25,86.08,0.22,51.43,1968,0.35,0.07,79100,97100,125000,45900,388,467,584,196,577,22.9,19.1,11.6,0,0,3.43,56.09,57.26,68.76,84,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,26.7,1260.7,0.34,?,?,?,?,0,?,0,0,3,7.91,20,52.76,13,34.3,200,527.63,1030,2717.32,70,184.67,26,68.59,94.97,3498.22
Keenecity,NH,5,39300,1,22430,2.67,0.28,98.83,0.59,0.59,19.96,32.9,21.18,12.62,0,0,31235,79.04,0.93,51.45,28.59,4.67,16.39,38391,14246,14312,1704,5270,12691,8897,9317,1632,8.06,6.21,16.34,28.98,6.42,63.92,19.92,27.04,13.56,28.3,8.61,35.27,11.97,10.46,2.97,74.41,73.75,80.96,82.82,66.56,75.69,281,1.74,594,7.41,21.38,26.77,30.3,0.2,0.57,0.71,0.8,95.33,0.52,2.93,1.94,2.42,2.67,2.07,64.12,1.25,48.35,3,450,94.91,58.09,0.44,25.78,1954,4.6,0.33,90900,113000,142400,51500,346,481,595,249,542,29.7,23.7,15.5,1,0,2.65,48.31,47.1,71.82,79.59,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,38.6,580.3,0.03,?,?,?,?,0,?,0,0,23,102.18,4,17.77,68,302.1,155,688.61,835,3709.63,24,106.62,14,62.2,422.05,4567.06
Springfieldtownship,OH,23,74119,1,13352,2.82,2.55,97.01,0.28,0.36,13.91,21.82,10.96,14.84,9827,73.6,32713,73.7,1.76,46.04,32.15,5.23,24.43,36199,14243,13832,12981,5114,106165,4091,5742,1116,8.79,8.16,25.83,13.65,5.41,55.46,24.72,22.89,17.76,27.61,7.8,22.04,9.11,8.48,3.02,82.16,77.61,83.46,74.35,68.08,72.52,125,1.16,130,3.85,3.85,11.54,11.54,0.04,0.04,0.11,0.11,97.24,0.48,3.26,2.66,2.69,2.72,2.51,83.85,1.2,32.59,3,132,97.29,82.69,2.27,40.91,1957,2.3,1.35,46700,66300,90100,43400,158,248,322,164,341,24.3,16.9,12.1,4,0,0.97,79.97,63.34,91.08,95.84,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,36.1,369.6,0.2,?,?,?,?,0,?,0,0,15,37.91,38,96.04,126,318.45,324,818.86,968,2446.48,36,90.98,13,32.86,452.4,3389.19
Swissvaleborough,PA,3,75816,1,10637,2.16,9.69,89.52,0.51,0.75,9.99,23.83,10.25,18.45,10637,100,23773,69.21,0,43.75,35.02,8.65,19.7,26537,13164,13833,7680,234,9378,0,22816,1322,12.53,9.07,21.74,20.9,6.62,55.31,12.37,35.69,9.73,34.27,9.65,35.59,12.34,11.16,2.88,63.45,64.25,70.11,66.94,55.69,64.4,232,2.99,244,0,15.57,20.9,20.9,0,0.36,0.48,0.48,93.29,0.35,3.26,1.89,2.15,2.42,1.81,62.28,0.65,56.32,2,358,93.22,55.3,5.87,53.35,1940,1.91,1.15,30900,40900,56600,25700,256,316,386,130,402,24.4,20.1,13.8,0,0,2.29,89.14,64.43,92.84,95.93,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.2,8564.4,16.83,?,?,?,?,0,?,2,18.94,5,47.34,18,170.42,18,170.42,65,615.41,200,1893.58,121,1145.62,9,85.21,407.12,3739.82
Knoxvillecity,TN,?,?,1,165121,2.36,15.78,82.73,1.04,0.67,16.31,32.25,18.75,13.77,165121,100,19923,72.35,0.54,34.7,30.68,9.69,15.24,26131,12108,13169,6838,8519,8899,5971,11800,32189,20.8,12.59,29.21,21.73,7.11,55.4,12.82,29.18,14.23,27.6,12.18,37,15.95,14.23,2.88,62.09,57.18,75.41,64.48,59.22,65.69,5720,4.81,3274,36.01,44.26,55.62,61.91,0.71,0.88,1.1,1.23,96.24,0.48,3.15,1.86,2.2,2.4,2.01,54.26,2.29,59.26,2,6480,91.52,49.86,7.04,33.72,1960,6.38,0.28,35900,49800,69600,33700,187,261,343,156,332,26.5,20.4,13.6,354,130,1.98,69.57,47.86,77.77,87.92,302,175.62,281,163.41,253782,147582,840.3,175.6,87.37,95.36,4.64,0,0,4.64,31,8,41.3,80,2063.3,1.93,328,16259984,93.05,0,10.26,94556.8,14,8.14,102,59.32,596,346.59,2200,1279.37,2817,1638.17,6027,3504.88,1609,935.68,173,100.6,1693.42,6179.34
Kernersvilletown,NC,?,?,1,10836,2.28,5.59,92.94,0.58,1.49,12.64,32.02,15.39,9.09,0,0,25649,84.51,0.9,30.14,19.2,2.24,7.63,32919,13997,14300,11547,4000,2331,0,8797,903,8.46,11.55,25.51,16.96,5.99,71.82,26.71,14.3,19.37,20.59,13.18,27.19,17.29,15.37,2.82,66.54,65.51,80.56,67.38,78.17,84.51,183,2.38,172,20.93,34.88,34.88,61.63,0.33,0.55,0.55,0.98,96.9,0.81,1.49,0.95,2.24,2.5,2.05,47.84,1.7,65.02,2,314,93.81,42.9,1.27,21.66,1977,6.37,0.65,56900,80700,107200,50300,243,302,360,117,373,22.5,20.8,13.1,0,0,1.59,60.31,34.76,64.31,79.22,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.5,1451,0,?,?,?,?,0,?,1,7.46,1,7.46,17,126.74,43,320.58,150,1118.32,606,4518,42,313.13,1,7.46,462.24,5956.91
Bloomingtoncity,MN,53,6616,1,86335,2.5,1.61,94.71,3.09,0.93,11.69,26.55,12.21,9.12,86335,100,41736,86.85,0.99,56.86,19.95,2.63,14.41,48608,20032,20459,14558,21025,10484,11321,11868,3154,3.7,2.51,8.76,31.69,3.28,74.28,17.21,21.96,9.56,31.64,7.74,30.48,10.92,9.4,2.95,80.21,80.39,88.29,82.66,72.26,78.55,777,1.27,3491,12.43,17.65,25.72,39.62,0.5,0.71,1.04,1.6,94.3,0.71,2.84,1.97,2.47,2.71,1.92,77.03,1.41,42.58,3,1327,96.29,70.35,0.15,22.61,1967,0.63,0.18,82600,97500,127600,45000,465,545,647,182,574,25.8,20,11.3,0,0,4.04,66.76,54.64,82.23,90.48,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,36.8,2345.2,3.14,?,?,?,?,0,?,4,4.65,?,?,65,75.59,103,119.79,715,831.52,3658,4254.13,417,484.96,?,?,?,?
ScotchPlainstownship,NJ,39,66060,1,21160,2.79,11.1,83.79,4.57,2.83,11.38,23.62,10.91,12.65,21160,100,58194,85.08,1.75,64.95,24.94,2.35,16.17,64920,27093,28517,18729,40576,21945,13857,17816,313,1.49,4.57,12.02,41.42,3.75,67.53,14.49,28.02,6.01,42.09,5,27.54,7.81,6.47,3.13,86.47,83.94,96.9,86.91,55.65,65.23,96,0.67,2311,9.91,14.28,21.46,33.58,1.08,1.56,2.34,3.67,85.29,1.53,3.96,3.21,2.77,2.91,2.13,85.73,0.92,25.64,3,198,97.46,81.45,2.53,46.46,1957,0.41,0.28,168700,206900,284900,116200,618,702,813,195,782,23.5,21.1,15,0,0,10.92,58.63,70.79,81.71,90.89,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9.4,2250.1,7.6,?,?,?,?,0,?,1,4.61,3,13.82,12,55.27,9,41.45,102,469.79,276,1271.19,89,409.91,2,9.21,115.14,2160.1
Newingtontown,CT,3,52140,1,29208,2.6,1.41,96.54,1.4,2.1,11.37,23.38,11.09,15.64,29208,100,45481,82.11,0.33,60.89,31.36,2.87,21.71,50916,19668,19718,19828,8154,15573,19962,16970,513,1.79,8.71,20.02,24.89,3.44,67.54,15.61,24.08,8.43,32.55,7.02,28.45,9.91,8.57,3.01,82.24,81.3,94.23,79.27,70.91,79.94,185,0.85,3194,4.85,7.51,14.46,18.44,0.53,0.82,1.58,2.02,82.18,2.51,3.04,2.25,2.56,2.65,2.13,84.14,0.88,42.36,3,386,96.67,81,0.26,36.79,1964,0.25,0.19,139000,165800,195100,56100,515,649,732,217,716,24.7,21.5,12.8,0,0,10.94,66.78,64.52,90.85,93.45,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13.7,2139.7,1.46,?,?,?,?,0,?,0,0,4,13.68,3,10.26,16,54.72,144,492.44,784,2681.08,110,376.17,1,3.42,78.65,3553.11
Moberlycity,MO,?,?,1,12839,2.46,7.24,91.65,0.54,0.86,14.38,25.65,12.85,16.85,0,0,20569,68.59,2.14,40.02,36.52,6.53,12.22,26654,10475,10832,5991,14440,6270,0,6043,2257,18.27,14.83,31.36,14.2,8.52,54.24,16.5,27.13,18.42,22.34,10.07,23.84,12.38,11.36,3,71.13,67.77,74.34,75.51,73.71,76.08,259,2.49,96,12.5,23.96,23.96,23.96,0.09,0.18,0.18,0.18,97.94,0.44,3.78,2.43,2.37,2.45,2.22,67.87,1.82,55.86,2,618,89.41,65.74,0.65,53.4,1954,10.58,0.58,19700,33200,52700,33000,134,188,242,108,277,25.3,18.1,13.4,0,0,0.75,75.46,50.83,77.48,88.98,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.5,1227.9,0.55,?,?,?,?,0,?,1,7.88,8,63.04,5,39.4,111,874.7,94,740.74,489,3853.43,21,165.48,1,7.88,985.03,4767.53
Sandycity,UT,?,?,1,75058,3.86,0.19,97.05,1.69,2.54,19.8,28.26,11.74,3.14,75058,100,43971,90.62,0.85,45.34,10.48,2.59,9.81,45611,12840,12876,14276,15114,10192,13146,11001,3141,4.21,1.05,6.93,29.42,3.56,72.82,12.64,22.87,8.39,31.54,4.95,25.12,7.77,6.38,4.1,89.17,89.56,95.53,90.14,55.28,65.64,228,0.43,2193,10.21,13.27,18.06,26.99,0.3,0.39,0.53,0.79,94.69,0.55,20.44,18.4,3.85,3.94,3.21,89.44,3.24,13.73,4,687,96.58,87.34,1.31,32.31,1978,0.86,0.26,70400,87500,111200,40800,293,397,538,245,500,22.8,21.9,11.4,0,0,2.92,66.41,51.8,80.89,85.88,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20.7,3625.3,2.34,?,?,?,?,0,?,0,0,13,14.89,28,32.06,74,84.74,676,774.07,2454,2810,110,125.96,5,5.73,131.68,3715.75
